uuid,question,answer,category,link,text
80912ED7-A944-DF29-4E5D-865A2DB39597,"Что представляет собой Национальный исследовательский университет ""Высшая школа экономики"" (Вышка)?","НИУ ""Высшая школа экономики"" – исследовательский университет, осуществляющий свою миссию через научно-образовательную, проектную, экспертно-аналитическую и социокультурную деятельность на основе международных научных и организационных стандартов.",вышка,,"Что представляет собой Национальный исследовательский университет ""Высшая школа экономики"" (Вышка)? НИУ ""Высшая школа экономики"" – исследовательский университет, осуществляющий свою миссию через научно-образовательную, проектную, экспертно-аналитическую и социокультурную деятельность на основе международных научных и организационных стандартов."
2950F1C4-A108-D935-2C6B-C11D0BFAAC0A,Какие элементы являются ключевыми для движения университета вперед?,Международное партнерство и вовлеченность в глобальное университетское взаимодействие считаются ключевыми элементами движения университета вперед.,вышка,,Какие элементы являются ключевыми для движения университета вперед? Международное партнерство и вовлеченность в глобальное университетское взаимодействие считаются ключевыми элементами движения университета вперед.
461D78CF-8908-7A7C-0B77-A7DE38B3228A,Какие ценности привержены сотрудниками и студентами Вышки?,"Стремление к истине, сотрудничество и заинтересованность друг в друге, честность и открытость, академическая свобода и политический нейтралитет, профессионализм, требовательность к себе и ответственность, активная общественная позиция.",вышка,,"Какие ценности привержены сотрудниками и студентами Вышки? Стремление к истине, сотрудничество и заинтересованность друг в друге, честность и открытость, академическая свобода и политический нейтралитет, профессионализм, требовательность к себе и ответственность, активная общественная позиция."
30DCAC9E-88E7-ED1E-061E-3DC9B0AC7624,Что отличает участников коллектива Вышки?,Внутренняя приверженность к поддержанию высоких академических стандартов своей деятельности отличает участников коллектива Вышки.,вышка,,Что отличает участников коллектива Вышки? Внутренняя приверженность к поддержанию высоких академических стандартов своей деятельности отличает участников коллектива Вышки.
E37B283F-9EB9-6F2B-34AC-5853C5CAD5F0,Какие ценности выделяются среди прочих у Вышки?,"Среди ценностей, выделяемых Вышкой, можно выделить стремление к истине, сотрудничество и заинтересованность друг в друге, честность и открытость, академическая свобода и политический нейтралитет, профессионализм, требовательность к себе и ответственность, активная общественная позиция.",вышка,,"Какие ценности выделяются среди прочих у Вышки? Среди ценностей, выделяемых Вышкой, можно выделить стремление к истине, сотрудничество и заинтересованность друг в друге, честность и открытость, академическая свобода и политический нейтралитет, профессионализм, требовательность к себе и ответственность, активная общественная позиция."
EE246FFC-BE77-17DA-383B-9625B8CDD5B2,Зачем нужна Вышка?, Вышка предоставляет многопрофильное образование и подготавливает специалистов в различных областях  способных к междисциплинарному подходу.,вышка,,Зачем нужна Вышка?  Вышка предоставляет многопрофильное образование и подготавливает специалистов в различных областях  способных к междисциплинарному подходу.
835C0746-9748-1B0D-AB30-9878E867EB46,Что такое ВШЭ?, Высшая школа экономики (ВШЭ) — российский национальный исследовательский университет с многопрофильной структурой.,вышка,,Что такое ВШЭ?  Высшая школа экономики (ВШЭ) — российский национальный исследовательский университет с многопрофильной структурой.
AD85A623-6C3A-F7DA-6958-DB320B29F981,Что такое НИУ ВШЭ?," Национальный исследовательский университет ""Высшая школа экономики"" (НИУ ВШЭ) — полное название университета.",вышка,,"Что такое НИУ ВШЭ?  Национальный исследовательский университет ""Высшая школа экономики"" (НИУ ВШЭ) — полное название университета."
99A973C4-3EC4-3B6A-4CBB-A8D340F05931,Расскажи про ВШЭ, Высшая школа экономики (ВШЭ) — российский университет  изначально ориентированный на образование в области экономики  который впоследствии расширил свой профиль и стал одним из ведущих образовательных и исследовательских центров в России. ,вышка,,Расскажи про ВШЭ  Высшая школа экономики (ВШЭ) — российский университет  изначально ориентированный на образование в области экономики  который впоследствии расширил свой профиль и стал одним из ведущих образовательных и исследовательских центров в России.
2B050396-95AC-7A6F-D1BE-6CD729176DFB,Расскажи про Вышку,"НИУ ""Высшая школа экономики"" – исследовательский университет, осуществляющий свою миссию через научно-образовательную, проектную, экспертно-аналитическую и социокультурную деятельность на основе международных научных и организационных стандартов.",вышка,,"Расскажи про Вышку НИУ ""Высшая школа экономики"" – исследовательский университет, осуществляющий свою миссию через научно-образовательную, проектную, экспертно-аналитическую и социокультурную деятельность на основе международных научных и организационных стандартов."
97B5062B-271B-0321-B94A-B6B9322F64BC,Кем я стану после Вышки?," После Вышки вы можете стать специалистом в выбранной области  работая в экономике, бизнесе, науке, технологиях, искусстве или общественных науках. ",вышка,,"Кем я стану после Вышки?  После Вышки вы можете стать специалистом в выбранной области  работая в экономике, бизнесе, науке, технологиях, искусстве или общественных науках. "
F89115A9-CF24-BB32-2F50-E09A34C5D5C7,Кого готовит ВШЭ?, Вышка готовит специалистов в различных областях  включая экономику  менеджмент  социологию  право  философию  историю  математику  компьютерные науки и другие. ,вышка,,Кого готовит ВШЭ?  Вышка готовит специалистов в различных областях  включая экономику  менеджмент  социологию  право  философию  историю  математику  компьютерные науки и другие.
B02366F1-1A1B-7F19-BB11-C44B30B44A30,Какие факультеты есть в Вышке?," В Вышке существуют порядка 40 факультетов и отделений. Вот одни из них:
- Факультет математики
- Факультет экономических наук
- Школа финансов
- Московский институт электроники и математики им. А.Н. Тихонова
- Факультет компьютерных наук
- Высшая школа бизнеса
- Факультет права
- Факультет городского и регионального развития
- Факультет химии
- Факультет биологии и биотехнологии",вышка,,"Какие факультеты есть в Вышке?  В Вышке существуют порядка 40 факультетов и отделений. Вот одни из них:
- Факультет математики
- Факультет экономических наук
- Школа финансов
- Московский институт электроники и математики им. А.Н. Тихонова
- Факультет компьютерных наук
- Высшая школа бизнеса
- Факультет права
- Факультет городского и регионального развития
- Факультет химии
- Факультет биологии и биотехнологии"
271451CF-6F57-4C6F-B62C-992756BC967F,сколько программ бакалавриата есть,В Вышке предоставляется 89 бакалаврских программ,вышка,,сколько программ бакалавриата есть В Вышке предоставляется 89 бакалаврских программ
9BA8CC3B-FED2-4B73-861D-B210BAF7BF0C,сколько направлений бакалавриата существует в вышке,Вышка предлагает 39 направлений подготовки,вышка,,сколько направлений бакалавриата существует в вышке Вышка предлагает 39 направлений подготовки
54DF4AAA-C897-A361-3E6C-D44ACA868170,могу ли я получить больше 1 стипендии на первом курсе,"Да, есть возможность получать несколько стипендий сразу за высокие оценки и активное участие в жизни университета",вышка,,"могу ли я получить больше 1 стипендии на первом курсе Да, есть возможность получать несколько стипендий сразу за высокие оценки и активное участие в жизни университета"
D448AA1C-23CB-2C94-2345-780BE3E46569,могу ли я участвовать в программах обмена,"Да, у студентов есть возможность участвовать в программах обмена с университетами-партнерами ВШЭ в различных странах",вышка,,"могу ли я участвовать в программах обмена Да, у студентов есть возможность участвовать в программах обмена с университетами-партнерами ВШЭ в различных странах"
74A5D65A-B455-963F-00DE-DE4BD611AD78,можно ли стать ассистентом,"Да, есть возможность стать оплачиваемым учебным ассистентом",вышка,,"можно ли стать ассистентом Да, есть возможность стать оплачиваемым учебным ассистентом"
F596CDC9-99C9-1317-0E8D-A515715E105B,сколько программ на английском языке,В Вышке предлагается 7 программ на английском языке,вышка,,сколько программ на английском языке В Вышке предлагается 7 программ на английском языке
F7066C47-4ECB-2E19-7257-4F3D059DE4E0,расскажи про бакалавриат в вышке,"Бакалавриат в Вышке предоставляет 39 направлений подготовки, включающих 89 бакалаврских программ. Программы включают самостоятельную работу, возможность получения стипендий, участие в исследованиях, обязательное получение сертификата по английскому языку, участие в международных мероприятиях и программах обмена, а также возможность стать учебным ассистентом и пользоваться богатым библиотечным фондом университета",вышка,,"расскажи про бакалавриат в вышке Бакалавриат в Вышке предоставляет 39 направлений подготовки, включающих 89 бакалаврских программ. Программы включают самостоятельную работу, возможность получения стипендий, участие в исследованиях, обязательное получение сертификата по английскому языку, участие в международных мероприятиях и программах обмена, а также возможность стать учебным ассистентом и пользоваться богатым библиотечным фондом университета"
67CA1D1C-2554-CDA6-0E51-76F52CFBFE31,сколько программ магистратуры есть,В Вышке предоставляется 180 магистерских программ,вышка,,сколько программ магистратуры есть В Вышке предоставляется 180 магистерских программ
DFDCC887-9C2C-6578-18D0-8C87E2936C4A,сколько направлений магистратуры существует в вышке,Вышка предлагает 39 направлений подготовки для магистратуры,вышка,,сколько направлений магистратуры существует в вышке Вышка предлагает 39 направлений подготовки для магистратуры
56968238-F792-1E69-8E57-E0BA888EAC9C,могу ли я получить больше 1 стипендии на первом курсе на магистратуре,"Да, есть возможность получать несколько стипендий сразу за высокие оценки и активное участие в жизни университета на магистратуре",вышка,,"могу ли я получить больше 1 стипендии на первом курсе на магистратуре Да, есть возможность получать несколько стипендий сразу за высокие оценки и активное участие в жизни университета на магистратуре"
